4.4	Syrian forces move to retake Aleppo	Syrian Regime Bids To Retake City Of Aleppo
0	20-member parliamentary, trade team leaves for India	Commerce secretary to take leave of absence
4.2	Sly Stallone's Sone Sage Found Dead in LA	Sylvester Stallone's Son Found Dead At Home
2	Wall Street Opens Lower	Wall Street Ends Mixed
4.4	Clinton: US, Europe must do more against tyrants	Clinton: US, Europe Must Work to Defeat Tyrants
0.8	Europe shares bounce as more China stimulus seen	Oil prices rise on hopes for stimulus
4	Syrian forces overrun rebel stronghold	Syria army takes northern rebel stronghold
4.4	Stock index futures point to lower start	Stock index futures signal early losses
1.4	Man charged after MP hurt in attack	Man charged with murder in flat
1	Chinese stocks close higher midday Friday	Chinese stocks open lower Friday
0	Nokia apologises for 'faked' ad	US waives riders for Pak aid
3	US drone strike kills 5 militants in Pakistan	Drone strike kills four suspected militants in Pakistan
4.4	Syria rebels leave besieged Homs	Syrian rebels retreat from besieged Homs district
4	U.S. orders non-essential staff to leave Sudan, Tunisia	US orders non-essential staff to leave Tunisia, Sudan
4.6	Egypt's Mubarak critical	Egypt's Mubarak in critical condition
2.6	Sandy slams into Northeast; at least 18 dead, 7.4M without power	Eastern U.S. storms leave 2 dead in Va., 2 million without power
2.2	Romney, Obama clash on tax, economy in first debate	Obama and Romney take stage for first debate
3.33333333333333	Assad says mercenaries are behind Syria unrest	Assad Accuses US of Fueling Syrian Uprising
1	Putin Declares Victory in Russia Presidential Vote	Complaints in Russian election mount
0	Japan PM dissolves lower house for election	Iran and world powers set for nuclear talks
2	Two killed in new Israeli strike on Gaza: medics	5 die in strikes on Gaza, militants barrage Israel
3.2	Navy jet crashes into Virginia buildings, injuring six	Navy jet crashes into Virginia apartments,9 hurt
3.2	One NATO soldier killed in S. Afghanistan	British soldier killed in southern Afghanistan
4.2	Spain jobless rate hits new high	Spain's jobless claims hit new high
2.6	Roadside bomb kills 10 Afghan civilians: police	Roadside bomb kills 5 Afghan policemen
3.6	Turkey scrambles jets near border	Turkey scrambles jets to Syrian border
1.4	Supreme Court to Hear Voting Rights Act Case	Supreme Court to hear corporate human rights case
0	Two die in Syria violence after UN monitors land	Two year doping ban for Contador
2.8	Remarks by the President at the White House Science Fair	The Presidential Planner - The White House Science Fair
1	Civilian, defector killed in Syria, says NGO	Syria gunmen kill three Syrian officers: NGO
4	Malawi confirms president's death	Malawi confirms President Mutharika's death
1.2	Taiwan rattled by strong earthquake	China rocked by twin earthquakes
2.8	Bank of England's Paul Tucker tainted by Libor mess	Bank of England deputy denies ordering rate-rigging
4	Libya postpones assembly election to July 7	Libya postpones landmark election to July 7
4.4	Red Cross says negotiating halt to fighting in Syria to take aid	Red Cross negotiating Syria ceasefire to bring aid
0.8	Syrian forces shoot civilians on bus	Syrian forces, rebels clash near Turkey
4.4	German parliament overwhelmingly backs Greek rescue deal	German parliament endorses Greek bailout
3.4	Bombings, clashes continue in Syria	Bombings, clashes as Syria opposition seeks arms
4.2	London 2012 Olympics Opening Ceremony 'to feature a green and pleasant land'	London 2012 Olympics: Opening Ceremony to be a 'green and pleasant land', says Danny Boyle
2.4	Burma's reforms bring easing of U.S. sanctions	Burma activists say go slow on easing sanctions
0.2	Usain Bolt wins 200m – Steven Howard reaction	Facebook mobile gains drive revenue growth: reaction
0.4	Dozens dead in Taliban resort attack	'India police name 3 Iranians in embassy attack'
3.8	Heavy fighting rocks eastern Syria ahead of poll	Heavy fighting rocks eastern Syria - residents
2.8	China yuan weakens to 6.3282 against USD Monday	China yuan retreats to 6.2697 against USD Thursday
1.4	7 dead in Christian school shooting	5 wounded in Ohio school shooting
3.2	Indonesia anti-terror squad kills two suspected militants	Indonesia police shoot dead suspected militants in Bali
4	US Election: Mitt Romney concedes defeat as Barack Obama wins second term	Romney concedes election to Obama in phone call
3.2	Armenians vote in parliamentary elections	Armenia's parliamentary vote a test for president
3.8	Pakistan blocks Twitter over anti-Islamic material	Pakistan blocks Twitter over 'blasphemy'
3.8	Annan to visit Syrian refugees in Turkey Tuesday	Annan to visit Syrian refugees in Turkey before Iran
3.2	Venezuela's Chavez in Cuba for 3rd anti-cancer treatment	Venezuelan leader returning to Cuba for treatment
1.6	Sachin Tendulkar is sworn in as Indian senator	MP Sachin Tendulkar says no to govt bungalow
0	Residents near Gaza instructed to stay near shelter	Best’s great day brings West Indies cheer
3.6	Navy Jet Crashes Into Apartment Building	U.S. Navy Jet Crashes Into Virginia Apartment Buildings
1.5	Romney wins big in Puerto Rico primary	Romney wins Illinois primary
4.2	Yahoo! to name Google's Mayer as CEO: report	Yahoo names Google exec Mayer as CEO
2	US soldier accused of Afghan massacre hires prominent criminal lawyer	US soldier accused of killing Afghan civilians identified
1.6	6.0-magnitude quake hits northern Italy: USGS	5.9-magnitude quake hits Sunda Strait, Indonesia: USGS
4.4	US gov't officially designates Haqqani network as terrorists	US designates Haqqani network as terrorists
3	Motor Racing: Button fastest in year's first F1 practice	Button boasts best time after first practice
4.8	Rangers voted into Division Three	Rangers voted into third division
1.8	Syria in ceasefire observers call	Syrian ceasefire brings uneasy calm
4.2	Newark mayor saves neighbor from fire	Newark mayor rescues neighbor from burning house
0	Spurs get revenge on Lakers, lead West	Abduct Israelis to free prisoners, Gaza leaders say
2.25	F1 protests in Bahrain	A day of rage in Bahrain
3	New York Stock Exchange to reopen Wednesday	DealBook: Stock Exchanges Prepare to Open
2.6	China's CPI growth slows to 1.8 pct in July	China's industrial output growth slows to 9.2 pct in July
2.6	Homs mortar fire kills 105	Homs offensive kills 200
2	Hundreds honor student killed in Ohio shooting	Funeral set for Ohio shooting victim
3	Bombs in southern Thailand kill 5, wound 50	Bombs in Thailand kill 14, wound 340
0.2	US lawmakers take next step on new Iran sanctions	Somalia lawmakers to vote for new president
0.4	Barack Obama admits US has 'more nuclear weapons than we need'	French gunman wants to 'die with weapons in hands'
1.8	2 rockets hit in the Eshkol region; no injuries	10 rockets in 20 minutes in Eshkol Regional Council
0.6	'Betrayed' disabled workers protest against Remploy closures	May Day marked by protests against austerity cuts
4	DR Congo rebels kill park rangers	Rebels kill two park rangers in eastern Congo
0.8	Nine Pakistani troops killed in militant ambush	Trade: Pakistan, India agree to take it a step ahead
3.2	74 dead in Egypt soccer violence	At least 73 die in Egyptian soccer pitch invasion
0.2	Unrest in tense Nigeria leaves at least 95 dead	Southwest China quakes kill at least 50
3	Hurricane Sandy makes landfall in southeastern Jamaica: NHC	Hurricane Sandy reaches Jamaica
2.75	Gaza militants fire 40 rockets into Israel, 3 hurt: police	Gazans fire four rockets into Israel; no injuries
1.5	Remarks With Prime Minister Elkeib After Their Meeting	Remarks With Foreign Minister Koichiro Gemba
3.2	Iraq Releases Suspected Hezbollah Operative Wanted By U.S.	Iraq Said to Release Hezbollah Operative
2.4	Pakistani PM shocked at avalanche trapping army personnel	Pakistan avalanche: rescuers search for buried soldiers
1.2	Barrick in talks with China firm over African assets	Obama aide holds talks in China after Syria veto
0.8	measure the depth of a body of water	any large deep body of water.
3	someone who plays a principal role	an actor who plays a principal role.
3.8	(cause to) come to rest on a surface	reach or come to rest.
2.2	the act of advocating or promoting something	the act of choosing or selecting.
3.8	alphanumeric sequence used for identification	a numeral or string of numerals that is used for identification.
2.6	a state of being elevated or raised	the event of something being raised upward.
0.6	the act of lifting something	the act of climbing something.
0.2	Bind or join (as if) with cement.	shine intensely, as if with heat.
1	(finally) do something or be somewhere	cause something to pass or lead somewhere.
3.2	a point, as the op part of a compass arrow	a V-shaped mark at one end of an arrow pointer.
0.4	the act of preserving or protecting something	the act of decreasing or reducing something.
4	coerce by violence, fill with terror	coerce by violence or with threats.
1.6	cause to move, cause to be moved	cease to operate or cause to cease operating.
0	the uppermost area of region of something	the act of decreasing or reducing something.
0	the foremost part of something	have flavor; taste of something.
4.4	behave or move in a certain manner	behave in a certain manner.
3	a reproduction or physical representation of something	a visual representation of something.
1.6	a type of subdivision of a larger literary composition	a specialized division of a large organization.
4.6	the person who is assigned to a non-elective position	a person who is appointed to a job or position.
4.2	Advance; contribute to the progress or growth of.	contribute to the progress or growth of.
3.4	a narrow channel or span of a sea or ocean	a narrow channel of the sea joining two larger bodies of water.
0.2	the act of preserving or protecting something	the act of cracking something.
0.6	Cut into, possibly creating something new.	the act of cracking something.
2.4	the act of choosing among alternatives	the act of changing one thing for another thing.
0.8	The act of testing something.	the act of breaking something.
4	the state of being in contact	the state of being connected.
0	giving a reference or citation of something	change the nature, purpose, or function of something.
3.8	Sell something to or obtain something from by underhanded activity.	sell something to or obtain something from by energetic and especially underhanded activity.
0.2	the act of determining or discovering the position of an object	a surface forming part of the outside of an object.
4	a feeling or state of contentment, relief	a state of being relaxed and feeling no pain.
4.2	Physically extend or spread outward from a center or focus or inward towards a center; physically spread from a start point.	extend or spread outward from a center or focus or inward towards a center.
2	place into the ground for growing	place or put on the ground.
0.8	an approximated amount of something	a visual representation of something.
4.4	stimulate sexually; get sexual gratification through self-stimulation	get sexual gratification through self-stimulation.
0.8	the act of acknowledging the truth of something	the act of projecting out from something.
4.2	Express audibly; utter sounds (not necessarily words); indicate.	express audibly; utter sounds (not necessarily words).
0.6	The state of being suspected.	the state of being excluded.
0	The act of providing approval and support.	the act of having and controlling property.
4.8	Relieve someone from work by taking a turn; take turns working.	relieve (someone) from work by taking a turn.
0	a side or surface of something	a brief experience of something.
1.4	utter in a certain way	appear in a certain way.
3	the act of turning, rotating an object	turning or twisting around (in place).
4	(Cause to) increase in extent or intensity.	increase in extent or intensity.
0.4	the legal state of owing money	the verbal act of offering.
4.6	make sense of, give meaning to	make sense of; assign a meaning to.
1	The act of beginning something new.	the act of hiring something or someone.
4.2	printed version of electronic data from a computer	(computer science) matter that is held in a computer and is typed or printed on paper.
5	Limit in quantity or quality.	limit in quality or quantity.
3.5	search (as the bottom of a body of water) for something	search (as the bottom of a body of water) for something valuable or lost.
2.25	the act of surrendering or losing something of value	the act of decreasing or reducing something.
4.8	The physical act of following in an effort to overtake or capture.	the act of pursuing in an effort to overtake or capture.
4.4	Expel or eject (saliva, phlegm, sputum, or vomit) from the mouth.	expel or eject (saliva or phlegm or sputum) from the mouth.
0	the natural progression or development of something	the act or means of getting rid of something.
0	the act of lifting something	the act of describing something.
0	an explanation or alibi for something	an opinion formed by judging something.
4.8	recover, return to former state	return to a former condition.
3.6	Act without permission or with too much confidence.	take liberties or act with too much confidence.
0.75	the act of putting a preparation on something.	the act of testing something.
0	become the owner or posessor of something	make a film or photograph of something.
0.4	the act of moving, turning something	the act of rejecting something.
0.4	the act of confining, preventing or blocking something	the act of testing something.
0.4	the act of putting a preparation on something.	the act of decreasing or reducing something.
0.4	the act or means of getting rid of something.	the physical position of something.
0.4	the shape of a wave in a given period of time	the popular taste at a given time.
0	a distinctive style of clothing	an intuitive understanding of something.
0	cause to have an odor	cause to become alive again.
3.6	fall or cause to fall	let or cause to fall in drops.
0.6	the act of allowing, bestowing something	the act of testing something.
3.8	keep from being seen or perceived by others	hold back; keep from being perceived by others.
3.4	a document authorizing another to vote on one's behalf	a power of attorney document given by shareholders of a corporation authorizing a specific vote on their behalf at a corporate meeting.
0.8	the act of lifting something	the act of retaining something.
0.8	the act of combining, blending, integrating	the act of chipping something.
4.5	smell by inhaling through the nose	perceive by inhaling through the nose.
0.8	the conclusion of a communication	the intended meaning of a communication.
3.8	(cause to) adopt a different system, value, or viewpoint	cause to adopt a new or different faith.
1.2	(cause to) become less intense or strict	cause to become violent or angry.
0.2	the act of choosing or selecting	the act of losing someone or something.
4	narrative or account, intended as factual reporting	a short account of the news.
3.8	Engrave by means of dots.	engrave by means of dots and flicks.
1.2	the act of shoving something away	the act of raising something.
4.6	decide the amount to be paid on an insurance claim	decide how much is to be paid on an insurance claim.
3.8	make noise like bad engine	make a noise typical of an engine lacking lubricants.
4.8	be in direct physical contact with	be in direct physical contact with; make contact.
1	the quality of being dependable	the quality of being of practical use.
3.4	Arrange a programme for an individual, group, or entity.	arrange a program of or for.
1.4	express a certain idea when rendering a play or music	give an interpretation or rendition of.
0	the quality of being dependable	the act of dwelling in a place.
3.8	a store or supply of something	a store or supply of something (especially of food or clothing or arms).
2.6	suggest or prescribe a solution	suggest the necessity of an intervention; in medicine.
0.6	person who manages money in board games	a person who is in charge.
0.6	the act of rubbing a surface	the act of dragging (pulling with force).
0.6	The act of dividing or disconnecting.	the act of expelling or projecting or ejecting.
1.2	the act of validating the authenticity of something	the act of concealing the identity of something by modifying its appearance.
0.4	the act of putting a preparation on something.	the act of forcing out someone or something.
0	the act of preserving or protecting something	the act of winding or twisting.
4.4	Oppose or approach, as in hostility or competition	oppose, as in hostility or a competition.
1.4	Travel (as if) through water.	move as if through a sieve.
4	administer or bestow, as portions	administer or bestow, as in small portions.
4.8	Form a spiral or move in a spiral course.	to wind or move in a spiral course.
4	Induce into action by using one's charm; provoke to do something.	induce into action by using one's charm.
4.6	connected underground tunnels used by rabbits	a series of connected underground tunnels occupied by rabbits.
4.6	hold or embrace in a tight grip	hold in a tight grasp.
2.6	the shape of a wave in a given period of time	the shape of a wave illustrated graphically by plotting the values of the period quantity against time.
0.2	the foremost part of something	the lower part of anything.
0.2	The act of controlling by restraining someone or something.	the act of liberating someone or something.
2	the act of planning or deliberating	the action of putting something into operation.
0	be located at or on top of something	cause (someone) to undergo something.
0	the scent or odor of something	the act of decreasing or reducing something.
3.4	(Cause to) make a dry crackling sound, possibly by mixing.	make a dry crackling sound.
4.2	fill, attach, fix with, or as if with gum	cover, fill, fix or smear with or as if with gum.
1.2	The act of talking about the features of something.	the act of sharing in the activities of a group.
0.2	the act of providing help or aid to someone	the act of applying paint to a surface.
4.2	a natural growth of plants, usually trees	a growth of similar plants (usually trees) in a particular area.
0.2	the act of planning or deliberating	the act of cracking something.
0.4	the physical expanse of the universe	the physical position of something.
4.2	a boundary area or edge of something	a boundary marking the extremities of something.
3.4	reach a destination or goal	reach a destination; arrive by movement or progress.
0.4	the act of preserving or protecting something	the act of expelling or projecting or ejecting.
4	to argue or plead in favor of	argue or speak in defense of.
2.2	support, sustain, bear, or be responsible for	cause to happen or be responsible for.
2.8	take or capture by force or authority	to put down by force or authority.
0.6	(cause to) lengthen or stretch out in space	cause to march or go at a marching pace.
0.75	the act of rending, tearing, ripping	the act of reducing the amount or number.
4.8	Equip with armed and armored motor vehicles (as of an army).	equip with armed and armored motor vehicles.
2.8	(the content of) a communication.	the last section of a communication.
0	The act of changing course or twisting oneself.	the act of indicating or pointing out by name.
0	the act of pressing together firmly	the act of disturbing the mind or body.
0.6	The state or condition of feeling or being rushed.	the condition of being motivated.
0.4	move to a lower position, terminate something	lower the pitch of (musical notes).
0.4	the act of pulling a load	the act of making a proposal.
0.4	(cause to) appear suddenly or briefly	break open or apart suddenly and forcefully.
0.8	The human act of making something new.	the speech act of making something evident.
1	make or become more acute or intense	make ready for action or use.
4	the activity of breaking or splintering something	the act of breaking something.
1.6	the extreme endpoint of something	get the meaning of something.
2.4	Perform an action with an intent to deceive.	make a copy of with the intent to deceive.
4.6	any cause or source of great suffering	any affliction that causes great suffering.
2.2	the act of moving, turning something	the act of drawing or hauling something.
3.8	To remain emotionally or intellectually attached without necessary physical contact.	to remain emotionally or intellectually attached.
0.4	The state of being pleased with life.	the state of being rejected.
0.2	the height of the sea's surface	the solid part of the earth's surface.
1.4	The act of testing something.	the act of starting something.
4.6	cover with a primer base	cover with a primer; apply a primer to.
3.8	discover a logical or causal connection; associate	make a logical or causal connection.
0.2	Rewrite in a different script.	extend in a different direction.
0.6	the act of reasoning, cogitation	the act of beginning something new.
0.4	the act of giving a speech	the act of giving a false appearance.
0.4	be located at or on top of something	observe or plot the moving path of something.
0.2	the act of turning, rotating an object	the act of breaking something.
0	the scent or odor of something	have a disagreement over something.
4.2	Give an incentive or reason for action.	give an incentive for action.
0.2	the context or setting in which something takes place	the act of cutting something into parts.
3.4	tolerate; aceept or take on as a responsibility.	give surety or assume responsibility.
5	move from one location to another	move from one place to another.
0.4	The act of testing something.	the act of dropping something.
2.8	Give a performative affectation to (something).	give a performance (of something).
4	a participant who is a beginner in some activity	any new participant in some activity.
3.8	Turn the paddle or oar.	turn the paddle; in canoeing.
0.2	the activity of examining or assessing something	the act of drawing or hauling something.
4.6	the conclusion of a communication	the last section of a communication.
0.6	An object impairs the respiration of someone or something.	the relation of comprising something.
4.4	be a reason, cause, or justification of	serve as a reason or cause or justification of.
2.6	retreat or move from a position, relocate	remove from a position or office.
3.8	The human act of making something new.	the act of starting something for the first time; introducing something new.
0.4	an instance of halting some motion	the act of starting something.
1	(cause to) gradually become weak	cause to become widely known.
3.2	a deficiency, state of disappointment, non-achievement	an event that does not accomplish its intended purpose.
4.8	The act of giving up a claim, office, or possession.	the act of giving up (a claim or office or possession etc.).
0.6	the uppermost area of region of something	exclusive control or possession of something.
3.2	take something or someone away from somewhere	take something or somebody with oneself somewhere.
0.6	energy in the form of molecular motion	money in the form of bills or coins.
0	a state of exposure to harm	a state of extreme poverty.
1.4	the act of putting a preparation on something.	the act of attaching or affixing something.
0.4	The act of testing something.	the act of rejecting something.
3.2	have a strong desire to do something	have a wish or desire to know something.
1.8	take in (mentally or physically)	take (gas, light or heat) into a solution.
0.2	the act of intentionally omitting something	the act of rending or ripping or splitting something.
2.4	pronounce with a nasal twang	pronounce with an initial sibilant.
4	an upward slope or incline	an upward slope or grade (as in a road).
1	an allotment or percentage of something	a relatively long narrow piece of something.
3.6	Shrivel, wither, or mature imperfectly, as of a flower.	shrivel or wither or mature imperfectly.
4.4	Identify, establish location or identity	recognize as being; establish the identity of someone or something.
0.6	the act of shoving something away	the act of starting something.
0	an explanation or alibi for something	an obligation to pay or do something.
4.2	incline from a vertical position	to incline or bend from a vertical position.
4.4	Preserve in a tin or jar.	preserve in a can or tin.
1	behave or move in a certain manner	dress in a certain manner.
0.8	The act of testing something.	the act of raising something.
4.4	give a deceptive explanation for; cover up	give a deceptive explanation or excuse for.
4.2	The principal activity that one does to earn money.	the principal activity in your life that you do to earn money.
0.2	The act of dividing or disconnecting.	the act of drawing or hauling something.
0.4	the act of planning or deliberating	the act of becoming more distant.
0	The act of testing something.	the act of retaining something.
4.8	12th month of the calendar year	the last (12th) month of the year.
0	the activity of examining or assessing something	the activity of protecting someone or something.
0.4	the act of turning, rotating an object	the act of troubling or annoying someone.
3.8	a company that provides public service commodities	a company that performs a public service; subject to government regulation.
4.6	get involved with or mixed up	get involved or mixed-up with.
2.6	gradual decrease in the strength of a signal	a gradual decline (in size or strength or power or number).
3.2	a fast rate or occurrence of something	a brief experience of something.
0	the act of lifting something	the act of chipping something.
4.4	(cause to) become even or level	make even or more even.
4.2	Declare invalid; take away the legal force of or render ineffective.	take away the legal force of or render ineffective.
0.2	Give an incentive or reason for action.	give an interpretation or rendition of.
4	hit or return before it touches the ground	hit before it touches the ground.
0	the act or means of getting rid of something.	the state of being unsure of something.
0	the act of accusing someone or something for being at fault	the action of putting something into operation.
3.8	Fix or set a physical object securely or depeply	fix or set securely or deeply.
3.8	A storyline; the plan,scheme,or main story of a literary or dramatic work, true or fictional.	the story that is told in a novel or play or movie etc..
4.2	the activity of breaking or splintering something	the act of rending or ripping or splitting something.
4.2	a retail store with merchandise for sale	a mercantile establishment for the retail sale of goods or services.
4	twist a body part suddenly so as to sprain	twist suddenly so as to sprain.
4.2	resist immunologically foreign tissue or organ	resist immunologically the introduction of some foreign tissue or organ.
0.2	be a factor or play a role in something	the act of stopping something.
4.8	the trading price between sellers and buyers in a an open marketplace	the price at which buyers and sellers trade the item in an open marketplace.
1	request or demand something from someone	the act of damaging something or someone.
0.8	the act of confining, preventing or blocking something	the act of forming or establishing something.
3.2	Ride on someone's shoulders or back; support on the back or shoulders.	support on the back and shoulders.
3.8	oppose with equal weight or force	contrast with equal weight or force.
0.4	the quality of acting with vigor and vitality	the quality of not being useful or convenient.
4.8	the quality of being important, worthy of attention	the quality of being important and worthy of note.
3.6	attachment, restraint or shackle between physical entities	a restraint that confines or restricts freedom (especially something used to tie down or restrain a prisoner).
4.4	the reduction of the extent of something, e.g, its size, importance or quantity	change toward something smaller or lower.
0.2	a visual characterization of something	a chance to do something.
3	put in a particular place or abstract location	cause to be in an appropriate place, state, or relation.
0.4	the action of extending outwards	the trait of wasting resources.
0.2	the consequence or aftermath of something	have flavor; taste of something.
3.6	(Cause to) increase in anxiety.	cause to run in panic.
0	the activity of examining or assessing something	the act of decreasing or reducing something.
1.4	the act of preserving or protecting something	the act of forming or establishing something.
3.6	turn on an axis; spin	cause to turn on an axis or center.
3.8	PLAY OFF-set into opposition or rivalry	set into opposition or rivalry.
1	the processing or operation of something	the physical position of something.
0.4	the act of pulling a load	the act of hearing attentively.
0.6	the act of explaining or defending something	the act of designating or identifying something.
0	come upon, attack or catch someone or something unaware	the act of liberating someone or something.
0.6	the act of turning, rotating an object	the act of dropping something.
2.8	social or economic downfall of someone or a group	failure that results in a loss of position or reputation.
1.6	the primary component of a communication	the last section of a communication.
4.2	the process of becoming less or smaller	process or result of becoming less or smaller.
4.2	the concluding section of a communication	the last section of a communication.
4.2	Reduce to small pieces by pounding or grinding.	reduce to small pieces or particles by pounding or abrading.
0	the act or capability of seeing	the range of interest or activity that can be anticipated.
0.8	the act of accusing someone or something for being at fault	the act of damaging something or someone.
3.2	give a specific interpretation to	twist and turn so as to give an intended interpretation.
0.8	The state of being suspected.	the state of being rejected.
4.2	The process of cultivating the land, possibly as a way of life.	agriculture considered as an occupation or way of life.
3	a military aircraft that drops ordinance	a military aircraft that drops bombs during flight.
0	the act of accusing someone or something for being at fault	the act of liberating someone or something.
4.6	accept, acclimate or adapt to a context, situation	adapt or conform oneself to new or different conditions.
3.6	the temperature at which a liquid boils, bubbles	the temperature at which a liquid boils at sea level.
0.6	The human act of making something new.	the act of cracking something.
0	Beat or hit (as if) with a whip.	maintain with or as if with a bet.
0.2	the act of lifting something	the act of stopping something.
3.8	rein in a horse to lose a race	rein in to keep from winning a race.
1.4	(cause to) come to rest on a surface	cause to come out in a squirt.
1.8	provide or supply with water	cover or swamp with water.
5	Amount that can be contained	the amount that can be contained.
4.4	contain or have a specific wording or information	have or contain a certain wording or form.
4.8	a channel of social communication	a channel for communication between groups.
4.2	Cause to be or last longer, extend in duration or space.	lengthen or extend in duration or space.
3.4	a rank or position relative to others	take or have a position relative to others.
0	the uppermost area of region of something	the act of dropping something.
0.2	the apparent condition or state of something	the act of losing someone or something.
4.66666666666667	burn slightly to affect color	burn slightly and superficially so as to affect color.
3.2	a general trait or characteristic of something	give certain properties to something.
2.8	position in football played by a team member	(American football) a position on the line of scrimmage.
2	The act of arranging elements together.	the act of fastening things together.
4	cause a sharp or stinging pain to	cause a sharp or stinging pain or discomfort.
0.8	the act of choosing or selecting	the act of dropping something.
4.2	incite action, cause an event	serve as the inciting cause of.
3.6	come up, as of liquid or gas	come up, as of a liquid.
4.4	(Cause to) become less tense; rest or take one's ease.	become less tense, rest, or take one's ease.
4.2	adapt to a specified measurement or proportion	adapt to a specified measurement.
2.4	anatomical shape of the body of a being, physique	alternative names for the body of a human being.
3.2	cause romantic action; lure away from proper conduct	lure or entice away from duty, principles, or proper conduct.
5	make up something fictional or untrue	make up something artificial or untrue.
2	remove to or from a place or situation	break from a meeting or gathering.
1.2	the act of lifting something	the act of ending something.
0.2	a happening or incident of human significance	a special set of circumstances.
3.8	protect with or as if with a shield	protect, hide, or conceal from danger or harm.
4.8	basic monetary unit of Kyrgyzstan	the basic unit of money in Kyrgyzstan.
0.4	the act of lifting something	the act of cracking something.
4.4	(cause to) move gently back and forth	cause to move back and forth.
1.2	the state of being in contact	the state of being active.
0.4	The act of testing something.	the act of decreasing or reducing something.
0.2	the act of explaining or defending something	the act of expelling or projecting or ejecting.
4.6	Understand the meaning of something.	get the meaning of something.
4.6	take a risk or guess in hope of a favorable outcome	take a risk in the hope of a favorable outcome.
0.2	the act of annoying someone or something	the act of applying force to propel something.
4.6	change (dramatically) between high and low values	alternate dramatically between high and low values.
2.4	the activity of examining or assessing something	the act of designating or identifying something.
0.4	(cause to) be anxious or preoccupied	cause to be balanced or suspended.
4.2	design for a specific purpose	plan something for a specific role or purpose or effect.
2.6	to combat or oppose someone or something	the act of forcing out someone or something.
2.2	(Cause to) form a cluster in either abstract or physical space.	cause to have, in the abstract sense or physical sense.
4.2	a mental grasp or understanding of something	understanding of the nature or meaning or quality or magnitude of something.
4.6	do something considered below one's diginty	do something that one considers to be below one's dignity.
4.2	(game) a division during which one is allowed to play (perhaps as offense).	(sports) a division during which one team is on the offensive.
4.2	the act of cutting off length, snipping off	the act of clipping or snipping.
3.8	a sovereign regime and its assemblage	the sovereign and his advisers who are the governing power of a state.
0.75	the act of annoying someone or something	the act of raising something.
0.4	the extreme endpoint of something	the act or means of getting rid of something.
2.6	be or have a quality of being	the quality of being significant.
4.4	Improve by pruning or polishing	improve or perfect by pruning or polishing.
0	the act of preserving or protecting something	the act of applying force to propel something.
4.4	register formally as a participant	register formally as a participant or member.
4	a lever that activates a firing mechanism, especially with a firearm	lever that activates the firing mechanism of a gun.
0.8	The act of beginning something new.	the act of ending something.
0.2	the act of annoying someone or something	the act of liberating someone or something.
0.6	Cut into, possibly creating something new.	a reason for wanting something done.
3.6	a casual game of throwing a ball back and forth	a cooperative game in which a ball is passed back and forth.
0.2	come up, as of liquid or gas	take up, as of debts or payments.
0.4	cause to be immersed in	cause to be hanging or suspended.
3.75	the act of substituting one thing for another	the act of changing one thing for another thing.
0.6	The act of testing something.	a way or means to achieve something.
0.8	the act of validating the authenticity of something	the act of liberating someone or something.
3.8	amount of time that something is postponed	time during which some action is awaited.
3.8	reverse a direction, attitude or course of action, perhaps perceptually.	reverse (a direction, attitude, or course of action).
4.4	An established or recognized right, formal or informal.	an established or recognized right.
0.2	the act of intentionally omitting something	the act of forming or establishing something.
4.6	the occupants who dwell on a level of a building	the occupants of a floor.
3	a method for solving a problem	the successful action of solving a problem.
0	cause to move with a flick or as if with a flick	cover with flakes or as if with flakes.
0.4	an observer of a process or activity	a member of a police force.
4	an address used for postal communication	the address where a person or organization can be communicated with.
4	Spur on, urge, or deride by cheers and shouts.	spur on or encourage especially by cheers and shouts.
2.8	spare in quality or quantity	limit in quality or quantity.
0.2	the act of shoving something away	the act of hiring something or someone.
1.8	the apparent condition or state of something	the event consisting of the start of something.
4	engrave, shape or cut by chipping away at the surface	engrave or cut by chipping away at a surface.
0.6	something considered trite but amusing	something recalled to the mind.
1.6	the act of lifting something	the act of constructing something.
3.8	concrete enactment of an idea or concept	a concrete representation of an otherwise nebulous concept.
0.8	raise or haul up as if with a mechanism	affect with or as if with a cramp.
4	(Cause to) change from a solid to a liquid.	become liquid or fluid when heated.
1	(The act of making) a measurement of something.	the act of making up your mind about something.
3.2	a duplicate of something, serving as a backup	something additional of the same kind.
0.4	(The act of making) a measurement of something.	the act of removing or getting rid of something.
4.2	react, or respond to a call, command, or stimulus	react to a stimulus or command.
4.4	club or association of people with a shared interest	a formal association of people with similar interests.
4.4	free from obligations, service or confinement	free from obligations or duties.
0	the degree or amount of something	the act of dropping something.
1.4	the act of arriving at a certain place	the act of putting something in a certain place.
3.4	medium of exchange minted by a government	the official currency issued by a government or national bank.
4.8	advance or set forward in court	advance or set forth in court.
4	make a written note of something	make a written note of.
0.2	the act of explaining or defending something	the allotment of some amount by dividing something.
3.8	a citizen of ancient Troy	a native of ancient Troy.
0	The act of testing something.	the act of rending or ripping or splitting something.
0	the act of turning, rotating an object	the act of terminating a life.
3.6	The act of moving in a hurried manner.	the act of moving hurriedly and in a careless manner.
0.2	the act of clipping, cutting	the act of describing something.
4.2	Physically raise from a lower position.	raise from a lower to a higher position.
0.2	the act of turning, rotating an object	the act of retaining something.
4.6	an increase in size as measured per unit of time	the rate of increase in size per unit time.
